S60.8	phlyctènes palmaires par frottement
S06.70	contusion du cortex cérébral sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.70	contusion du cortex cérébral sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.70	contusion du cortex cérébral sans plaie intracrânienne ouverte, avec perte de conscience de durée non précisée
S06.20	contusion du cortex cérébral sans plaie intracrânienne ouverte, avec commotion non précisée
S06.21	contusion du cortex cérébral avec plaie intracrânienne ouverte
S06.21	contusion du cortex cérébral avec plaie intracrânienne ouverte avec état de conscience non précisé
S06.21	contusion du cortex cérébral avec plaie intracrânienne ouverte, sans perte de conscience
S06.01	contusion du cortex cérébral avec plaie intracrânienne ouverte et perte de conscience brève (moins d'une heure)
S06.71	contusion du cortex cérébral avec plaie intracrânienne ouverte et perte de conscience modérée (1-24 heures)
S06.71	contusion du cortex cérébral avec plaie intracrânienne ouverte, perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.71	contusion du cortex cérébral avec plaie intracrânienne ouverte et perte de conscience prolongée (plus de 24 heures) sans retour du niveau de conscience pré-existant
S06.71	contusion du cortex cérébral avec plaie intracrânienne ouverte et perte de conscience de durée non précisée
S06.21	contusion du cortex cérébral avec plaie intracrânienne ouverte et commotion non précisée
S06.20	lacération du cortex cérébral sans plaie intracrânienne ouverte
S06.20	lacération du cortex cérébral sans plaie intracrânienne ouverte, avec état de conscience non précisé
S06.20	lacération du cortex cérébral sans plaie intracrânienne ouverte ni perte de conscience
S06.20	lacération du cortex cérébral sans plaie intracrânienne ouverte, avec perte de conscience brève (moins d'une heure)
S06.70	lacération du cortex cérébral sans plaie intracrânienne ouverte, avec perte de conscience modérée (1-24 heures)
S06.70	lacération du cortex cérébral sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.70	lacération du cortex cérébral sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.70	lacération du cortex cérébral sans plaie intracrânienne ouverte, avec perte de conscience de durée non précisée
S06.20	lacération du cortex cérébral sans plaie intracrânienne ouverte, avec commotion non précisée
S06.21	lacération du cortex cérébral avec plaie intracrânienne ouverte
S06.21	lacération du cortex cérébral avec plaie intracrânienne ouverte et état de conscience non précisé
S06.21	lacération du cortex cérébral avec plaie intracrânienne ouverte, sans perte de conscience
S06.21	lacération du cortex cérébral avec plaie intracrânienne ouverte et perte de conscience brève (moins d'une heure)
S06.71	lacération du cortex cérébral avec plaie intracrânienne ouverte et perte de conscience modérée (1-24 heures)
S06.71	lacération du cortex cérébral avec plaie intracrânienne ouverte, perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.71	lacération du cortex cérébral avec plaie intracrânienne ouverte et perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.71	lacération du cortex cérébral avec plaie intracrânienne ouverte et perte de conscience de durée non précisée
S06.21	lacération du cortex cérébral avec plaie intracrânienne ouverte et commotion non précisée
S06.80	contusion cérébelleuse sans plaie intracrânienne ouverte
S06.80	contusion cérébelleuse sans plaie intracrânienne ouverte, avec état de conscience non précisé
S06.80	contusion cérébelleuse sans plaie intracrânienne ouverte ni perte de conscience
S06.80	contusion cérébelleuse sans plaie intracrânienne ouverte, avec perte de conscience brève (moins d'une heure)
S06.70	contusion cérébelleuse sans plaie intracrânienne ouverte, avec perte de conscience modérée (1-24 heures)
S06.70	contusion cérébelleuse sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.70	contusion cérébelleuse sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.70	contusion cérébelleuse sans plaie intracrânienne ouverte, avec perte de conscience de durée non précisée
S06.20	contusion cérébelleuse sans plaie intracrânienne ouverte, avec commotion non précisée
S06.80	contusion du tronc cérébral sans plaie intracrânienne ouverte
S06.80	contusion du tronc cérébral sans plaie intracrânienne ouverte, avec état de conscience non précisé
S06.80	contusion du tronc cérébral sans plaie intracrânienne ouverte ni perte de consience
S06.80	contusion du tronc cérébral sans plaie intracrânienne ouverte, avec perte de conscience brève (moins d'une heure)
S06.80	contusion du tronc cérébral sans plaie intracrânienne ouverte, avec perte de conscience modérée (1-24 heures)
S06.80	contusion du tronc cérébral sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.80	contusion du tronc cérébral sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.80	contusion du tronc cérébral sans plaie intracrânienne ouverte, avec perte de conscience de durée non précisée
S06.80	contusion du tronc cérébral sans plaie intracrânienne ouverte, avec commotion non précisée
S06.81	contusion cérébelleuse avec plaie intracrânienne ouverte
S06.81	contusion cérébelleuse avec plaie intracrânienne ouverte et état de conscience non précisé
S06.81	contusion cérébelleuse avec plaie intracrânienne ouverte, sans perte de conscience
S06.81	contusion cérébelleuse avec plaie intracrânienne ouverte et perte de conscience brève
S06.71	contusion cérébelleuse avec plaie intracrânienne ouverte et perte de conscience modérée (1-24 heures)
S06.71	contusion cérébelleuse avec plaie intracrânienne ouverte, perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.71	contusion cérébelleuse avec plaie intracrânienne ouverte et perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.71	contusion cérébelleuse avec plaie intracrânienne ouverte et perte de conscience de durée non précisée
S06.81	contusion cérébelleuse avec plaie intracrânienne ouverte et commotion non précisée
S06.81	contusion du tronc cérébral avec plaie intracrânienne ouverte
S06.81	contusion du tronc cérébral avec plaie intracrânienne ouverte et état de conscience non précisé
S06.81	contusion du tronc cérébral avec plaie intracrânienne ouverte, sans perte de conscience
S06.81	contusion du tronc cérébral avec plaie intracrânienne ouverte et perte de conscience brève (moins d'une heure)
S06.81	contusion du tronc cérébral avec plaie intracrânienne ouverte et perte de conscience modérée (1-24 heures)
S06.81	contusion du tronc cérébral avec plaie intracrânienne ouverte, perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.81	contusion du tronc cérébral avec plaie intracrânienne ouverte et perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.81	contusion du tronc cérébral avec plaie intracrânienne ouverte et perte de conscience de durée non précisée
S06.81	contusion du tronc cérébral avec plaie intracrânienne ouverte et commotion non précisée
S06.80	lacération cérébelleuse sans plaie intracrânienne ouverte
S06.80	lacération cérébelleuse sans plaie intracrânienne ouverte, avec état de conscience non précisé
S06.80	lacération cérébelleuse sans plaie intracrânienne ouverte ni perte de conscience
S06.80	lacération cérébelleuse sans plaie intracrânienne ouverte, avec perte de conscience brève (moins d'une heure)
S06.70	lacération cérébelleuse sans plaie intracrânienne ouverte, avec perte de conscience modérée (1-24 heures)
S06.70	lacération cérébelleuse sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.70	lacération cérébelleuse sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.70	lacération cérébelleuse sans plaie intracrânienne ouverte, avec perte de conscience de durée non précisée
S06.80	lacération cérébelleuse sans plaie intracrânienne ouverte, avec commotion non précisée
S06.80	lacération du tronc cérébral sans plaie intracrânienne ouverte
S06.80	lacération du tronc cérébral sans plaie intracrânienne ouverte, avec état de conscience non précisé
S06.80	lacération du tronc cérébral sans plaie intracrânienne ouverte ni perte de conscience
S06.80	lacération du tronc cérébral sans plaie intracrânienne ouverte, avec perte de conscience brève (moins d'une heure)
S06.80	lacération du tronc cérébral sans plaie intracrânienne ouverte, avec perte de conscience modérée (1-24 heures)
S06.80	lacération du tronc cérébral sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.80	lacération du tronc cérébral sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.80	lacération du tronc cérébral sans plaie intracrânienne ouverte, avec perte de conscience de durée non précisée
S06.80	lacération du tronc cérébral sans plaie intracrânienne ouverte, avec commotion non précisée
S06.81	lacération cérébelleuse avec plaie intracrânienne ouverte
S06.81	lacération cérébelleuse avec plaie intracrânienne ouverte et état de conscience non précisé
S06.81	lacération cérébelleuse avec plaie intracrânienne ouverte, sans perte de conscience
S06.81	lacération cérébelleuse avec plaie intracrânienne ouverte et perte de conscience brève (moins d'une heure)
S06.71	lacération cérébelleuse avec plaie intracrânienne ouverte et perte de conscience modérée (1-24 heures)
S06.71	lacération cérébelleuse avec plaie intracrânienne ouverte, perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.71	lacération cérébelleuse avec plaie intracrânienne ouverte et perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.71	lacération cérébelleuse avec plaie intracrânienne ouverte et perte de conscience de durée non précisée
S06.81	lacération cérébelleuse avec plaie intracrânienne ouverte et commotion non précisée
S06.81	lacération du tronc cérébral avec plaie intracrânienne ouverte
S06.81	lacération du tronc cérébral avec plaie intracrânienne ouverte et état de conscience non précisé
S06.81	lacération du tronc cérébral avec plaie intracrânienne ouverte, sans perte de conscience
S06.81	lacération du tronc cérébral avec plaie intracrânienne ouverte et perte de conscience brève (moins d'une heure)
S06.81	lacération du tronc cérébral avec plaie intracrânienne ouverte et perte de conscience modérée (1-24 heures)
S06.81	lacération du tronc cérébral avec plaie intracrânienne ouverte, perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.81	lacération du tronc cérébral avec plaie intracrânienne ouverte et perte de conscience prolongée (plus de 24 heures) sans retour du niveau de conscience pré-existant
S06.81	lacération du tronc cérébral avec plaie intracrânienne ouverte avec perte de conscience de durée indéterminée
S06.81	lacération du tronc cérébral avec plaie intracrânienne ouverte et commotion non précisée
S06.8	hémorragie intracrânienne après lésion traumatique
S06.8	hémorragie intracrânienne après traumatisme
S06.8	hémorragie cérébrale traumatique
S06.8	hématome intracrânien après lésion traumatique
S06.8	hématome intracrânien après traumatisme
S06.2	compression cérébrale due à une lésion traumatique
S06.80	hémorragie intracrânienne après lésion traumatique sans plaie intracrânienne ouverte
S06.80	hémorragie intracrânienne après traumatisme sans plaie intracrânienne ouverte
S06.80	hémorragie intracrânienne après lésion traumatique sans plaie intracrânienne ouverte, avec état de conscience non précisé
S06.80	hémorragie intracrânienne après traumatisme sans plaie intracrânienne ouverte, avec état de conscience non précisé
S06.80	hémorragie intracrânienne après lésion traumatique sans plaie intracrânienne ouverte ni perte de conscience
S06.80	hémorragie intracrânienne après traumatisme sans plaie intracrânienne ouverte ni perte de conscience
S06.80	hémorragie intracrânienne après lésion traumatique sans plaie intracrânienne ouverte, avec perte de conscience brève (moins d'une heure)
S06.80	hémorragie intracrânienne après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience brève (moins d'une heure)
S06.70	hémorragie intracrânienne après lésion traumatique sans plaie intracrânienne, avec perte de conscience modérée (1-24 heures)
S06.70	hémorragie intracrânienne après traumatisme sans plaie intracrânienne, avec perte de conscience modérée (1-24 heures)
S06.70	hémorragie intracrânienne après lésion traumatique sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.70	hémorragie intracrânienne après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.70	hémorragie intracrânienne après lésion traumatique sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.70	hémorragie intracrânienne après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures) sans retour du niveau de conscience pré-existant
S06.70	hémorragie intracrânienne après lésion traumatique sans plaie intracrânienne ouverte, avec perte de conscience de durée non précisée
S06.70	hémorragie intracrânienne après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience de durée non précisée
S06.80	hémorragie intracrânienne après lésion traumatique sans plaie intracrânienne ouverte avec commotion non précisée
S06.80	hémorragie intracrânienne après traumatisme sans plaie intracrânienne ouverte avec commotion non précisée
S06.81	hémorragie intracrânienne après lésion traumatique avec plaie intracrânienne ouverte
S06.81	hémorragie intracrânienne après traumatisme avec plaie intracrânienne ouverte
S06.81	hémorragie intracrânienne après lésion traumatique avec plaie intracrânienne ouverte et état de conscience non précisé
S06.81	hémorragie intracrânienne après traumatisme avec plaie intracrânienne ouverte et état de conscience non précisé
S06.81	hémorragie intracrânienne après lésion traumatique avec plaie intracrânienne ouverte, sans perte de conscience
S06.81	hémorragie intracrânienne après traumatisme avec plaie intracrânienne ouverte, sans perte de conscience
S06.81	hémorragie intracrânienne après lésion traumatique avec plaie intracrânienne ouverte et perte de conscience brève (moins d'une heure)
S06.81	hémorragie intracrânienne après traumatisme avec plaie intracrânienne ouverte et perte de conscience brève (moins d'une heure)
S06.71	hémorragie intracrânienne après lésion traumatique avec plaie intrâcranienne et perte de conscience (1-24 heures)
S06.71	hémorragie intracrânienne après traumatisme avec plaie intracrânienne et perte de conscience modérée (1-24 heures)
S06.71	hémorragie intracrânienne après lésion traumatique avec plaie intracrânienne ouverte et perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.71	hémorragie intracrânienne après traumatisme avec plaie intracrânienne ouverte et perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.71	hémorragie intracrânienne après lésion traumatique avec plaie intracrânienne ouverte et perte de conscience prolongée (plus de 24 heures) sans retour du niveau de conscience pré-existant
S06.71	hémorragie intracrânienne après traumatisme avec plaie intracrânienne ouverte et perte de conscience prolongée (plus de 24 heures) sans retour du niveau de conscience pré-existant
S06.71	hémorragie intracrânienne après lésion traumatique avec plaie intracrânienne ouverte et perte de conscience de durée non précisée
S06.71	hémorragie intracrânienne après traumatisme avec plaie intracrânienne ouverte et perte de conscience de durée non précisée
S06.81	hémorragie intracrânienne après lésion traumatique avec plaie intracrânienne ouverte et commotion non précisée
S06.81	hémorragie intracrânienne après traumatisme avec plaie intracrânienne ouverte et commotion non pécisée
S06.60	hémorragie sous-arachnoïdienne après lésion traumatique sans plaie intracrânienne ouverte
S06.60	hémorragie sous-arachnoïdienne après traumatisme sans plaie intracrânienne ouverte
S06.60	hémorragie sous-arachnoïdienne après lésion traumatique sans plaie intracrânienne ouverte, avec état de conscience non précisé
S06.60	hémorragie sous-arachnoïdienne après traumatisme sans plaie intracrânienne ouverte, avec état de conscience non précisé
S06.60	hémorragie sous-arachnoïdienne après lésion traumatique sans plaie intracrânienne ouverte ni perte de conscience
S06.60	hémorragie sous-arachnoïdienne après traumatisme sans plaie intracrânienne ouverte ni perte de conscience
S06.60	hémorragie sous-arachnoïdienne après lésion traumatique sans plaie intracrânienne ouverte, avec perte de conscience brève (moins d'une heure)
S06.70	hémorragie sous-arachnoïdienne après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience brève (moins d'une heure)
S06.70	hémorragie sous-arachnoïdienne après lésion traumatique sans plaie intracrânienne ouverte, avec perte de conscience modérée (1-24 heures)
S06.70	hémorragie sous-arachnoïdienne après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience modérée (1-24 heures)
S06.70	hémorragie sous-arachnoïdienne après lésion traumatique sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.70	hémorragie sous-arachnoïdienne après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.70	hémorragie sous-arachnoïdienne après lésion traumatique sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.70	hémorragie sous-arachnoïdienne après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures) sans retour du niveau de conscience pré-existant
S06.70	hémorragie sous-arachnoïdienne après lésion traumatique sans plaie intracrânienne ouverte, avec perte de conscience de durée non précisée
S06.70	hémorragie sous-arachnoïdienne après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience de durée non précisée
S06.60	hémorragie sous-arachnoïdienne après lésion traumatique sans plaie intracrânienne ouverte, avec commotion non précisée
S06.60	hémorragie sous-arachnoïdienne après traumatisme sans plaie intracrânienne ouverte, avec commotion non précisée
S06.5	hémorragie méningée moyenne après lésion traumatique
S06.5	hémorragie méningée moyenne après traumatisme
S06.61	hémorragie sous-arachnoïdienne après lésion traumatique avec plaie intracrânienne ouverte
S06.61	hémorragie sous-arachnoïdienne après traumatisme avec plaie intracrânienne ouverte
S06.61	hémorragie sous-arachnoïdienne après lésion traumatique avec plaie intracrânienne ouverte et état de conscience non précisé
S06.61	hémorragie sous-arachnoïdienne après traumatisme avec plaie intracrânienne ouverte et état de conscience non précisé
S06.61	hémorragie sous-arachnoïdienne après lésion traumatique avec plaie intracrânienne ouverte, sans perte de conscience
S06.61	hémorragie sous-arachnoïdienne après traumatisme avec plaie intracrânienne ouverte, sans perte de conscience
S06.61	hémorragie sous-arachnoïdienne après lésion traumatique avec plaie intracrânienne ouverte et perte de conscience brève (moins d'une heure)
S06.61	hémorragie sous-arachnoïdienne après traumatisme avec plaie intracrânienne ouverte et perte de conscience brève (moins d'une heure)
S06.71	hémorragie sous-arachnoïdienne après lésion traumatique avec plaie intracrânienne ouverte et perte de conscience modérée (1-24 heures)
S06.71	hémorragie sous-arachnoïdienne après traumatisme avec plaie intracrânienne ouverte et perte de conscience modérée (1-24 heures)
S06.71	hémorragie sous-arachnoïdienne après lésion traumatique avec plaie intracrânienne ouverte, perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.71	hémorragie sous-arachnoïdienne après traumatisme avec plaie intracrânienne ouverte, perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.71	hémorragie sous-arachnoïdienne après lésion traumatique avec plaie intracrânienne ouverte et perte de conscience prolongée (plus de 24 heures) sans retour du niveau de conscience pré-existant
S06.71	hémorragie sous-arachnoïdienne après traumatisme avec plaie intracrânienne ouverte et perte de conscience prolongée (plus de 24 heures) sans retour du niveau de conscience pré-existant
S06.71	hémorragie sous-arachnoïdienne après lésion traumatique avec plaie intracrânienne ouverte et perte de conscience de durée non précisée
S06.71	hémorragie sous-arachnoïdienne après traumatisme avec plaie intracrânienne ouverte et perte de conscience de durée non précisée
S06.61	hémorragie sous-arachnoïdienne après lésion traumatique avec plaie intracrânienne ouverte et commotion non précisée
S06.61	hémorragie sous-arachnoïdienne après traumatisme avec plaie intracrânienne ouverte et commotion non précisée
S06.50	hémorragie sous-durale après lésion traumatique sans plaie intracrânienne ouverte
S06.50	hémorragie sous-durale après traumatisme sans plaie intracrânienne ouverte
S06.50	hémorragie sous-durale après lésion traumatique sans plaie intracrânienne ouverte, avec état de conscience non précisé
S06.50	hémorragie sous-durale après traumatisme sans plaie intracrânienne ouverte, avec état de conscience non précisé
S06.50	hémorragie sous-durale après lésion traumatique sans plaie intracrânienne ouverte ni perte de conscience
S06.50	hémorragie sous-durale après traumatisme sans plaie intracrânienne ouverte ni perte de conscience
S06.50	hémorragie sous-durale après lésion traumatique sans plaie intracrânienne ouverte, avec perte de conscience brève (moins d'une heure)
S06.50	hémorragie sous-durale après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience brève (moins d'une heure)
S06.70	hémorragie sous-durale après lésion traumatique sans plaie intracrânienne ouverte, avec perte de conscience modérée (1-24 heures)
S06.70	hémorragie sous-durale après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience modérée (1-24 heures)
S06.70	hémorragie sous-durale après lésion traumatique sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.70	hémorragie sous-durale après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.70	hémorragie sous-durale après lésion traumatique sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.70	hémorragie sous-durale après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.70	hémorragie sous-durale après lésion traumatique sans plaie intracrânienne ouverte, avec perte de conscience de durée non précisée
S06.70	hémorragie sous-durale après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience de durée non précisée
S06.50	hémorragie sous-durale après lésion traumatique sans plaie intracrânienne ouverte, avec commotion non précisée
S06.50	hémorragie sous-durale après traumatisme sans plaie intracrânienne ouverte, avec commotion non précisée
S06.51	hémorragie sous-durale après lésion traumatique avec plaie intracrânienne ouverte
S06.51	hémorragie sous-durale après traumatisme avec plaie intracrânienne ouverte
S06.51	hémorragie sous-durale après lésion traumatique avec plaie intracrânienne ouverte et état de conscience non précisé
S06.51	hémorragie sous-durale après traumatisme avec plaie intracrânienne ouverte et état de conscience non précisé
S06.51	hémorragie sous-durale après lésion traumatique avec plaie intracrânienne ouverte, sans perte de conscience
S06.51	hémorragie sous-durale après traumatisme avec plaie intracrânienne ouverte, sans perte de conscience
S06.51	hémorragie sous-durale après lésion traumatique avec plaie intracrânienne ouverte et perte de conscience brève (moins d'une heure)
S06.51	hémorragie sous-durale après traumatisme avec plaie intracrânienne ouverte et perte de conscience (moins d'une heure)
S06.71	hémorragie sous-durale après lésion traumatique avec plaie intracrânienne ouverte et perte de conscience modérée (1-24 heures)
S06.71	hémorragie sous-durale après traumatisme avec plaie intracrânienne ouverte et perte de conscience modérée (1-24 heures)
S06.71	hémorragie sous-durale après lésion traumatique avec plaie intracrânienne ouverte, perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.71	hémorragie sous-durale après traumatisme avec plaie intracrânienne ouverte, perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.71	hémorragie sous-durale après lésion traumatique avec plaie intracrânienne ouverte et perte de conscience prolongée (plus de 24 heures) sans retour du niveau de conscience pré-existant
S06.71	hémorragie sous-durale après traumatisme avec plaie intracrânienne ouverte et perte de conscience prolongée (plus de 24 heures) sans retour du niveau de conscience pré-existant
S06.71	hémorragie sous-durale après lésion traumatique avec plaie intracrânienne ouverte et perte de conscience de durée non précisée
S06.71	hémorragie sous-durale après traumatisme avec plaie intracrânienne ouverte et perte de conscience de durée non précisée
S06.51	hémorragie sous-durale après lésion traumatique avec plaie intracrânienne ouverte et commotion non précisée
S06.51	hémorragie sous-durale après traumatisme avec plaie intracrânienne ouverte et commotion non précisée
S06.40	hémorragie extra-durale après lésion traumatique sans plaie intracrânienne ouverte
S06.40	hémorragie extra-durale après traumatisme sans plaie intracrânienne ouverte
S06.40	hémorragie extra-durale après lésion traumatique sans plaie intracrânienne ouverte, avec état de conscience non précisé
S06.40	hémorragie extra-durale après traumatisme sans plaie intracrânienne ouverte, avec état de conscience non précisé
S06.40	hémorragie extra-durale après lésion traumatique sans plaie intracrânienne ouverte ni perte de conscience
S06.40	hémorragie extra-durale après traumatisme sans plaie intracrânienne ouverte ni perte de conscience
S06.40	hémorragie extra-durale après lésion traumatique sans plaie intracrânienne ouverte, avec perte de conscience brève (moins d'une heure)
S06.40	hémorragie extra-durale après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience brève (moins d'une heure)
S06.70	hémorragie extra-durale après lésion traumatique sans plaie intracrânienne ouverte et perte de conscience modérée (1-24 heures)
S06.70	hémorragie extra-durale après traumatisme sans plaie intracrânienne ouverte et perte de conscience modérée (1-24 heures)
S06.70	hémorragie extra-durale après lésion traumatique sans plaie intracrânienne ouverte avec perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.70	hémorragie extra-durale après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.70	hémorragie extra-durale après lésion traumatique sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.70	hémorragie extra-durale après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience prolongée (plus de 24 heures), sans retour du niveau de conscience pré-existant
S06.70	hémorragie extra-durale après lésion traumatique sans plaie intracrânienne ouverte, avec perte de conscience de durée non précisée
S06.70	hémorragie extra-durale après traumatisme sans plaie intracrânienne ouverte, avec perte de conscience de durée non précisée
S06.40	hémorragie extra-durale après lésion traumatique sans plaie intracrânienne ouverte, avec commotion non précisée
S06.40	hémorragie extra-durale après traumatisme sans plaie intracrânienne ouverte, avec commotion non précisée
S06.41	hémorragie extra-durale après lésion traumatique avec plaie intracrânienne ouverte
S06.41	hémorragie extra-durale après traumatisme avec plaie intracrânienne ouverte
S06.41	hémorragie extra-durale après lésion traumatique avec plaie intracrânienne ouverte et état de conscience non précisé
S06.41	hémorragie extra-durale après traumatisme avec plaie intracrânienne ouverte et état de conscience non précisé
S06.41	hémorragie extra-durale après lésion traumatique avec plaie intracrânienne ouverte, sans perte de conscience
S06.41	hémorragie extra-durale après traumatisme avec plaie intracrânienne ouverte, sans perte de conscience
S06.41	hémorragie extra-durale après lésion traumatique avec plaie intracrânienne ouverte et perte de conscience brève (moins d'une heure)
S06.41	hémorragie extra-durale après traumatisme avec plaie intracrânienne ouverte et perte de conscience brève (moins d'une heure)
S06.71	hémorragie extra-durale après lésion traumatique avec plaie intracrânienne ouverte et perte de conscience modérée (1-24 heures)
S06.71	hémorragie extra-durale après traumatisme avec plaie intracrânienne ouverte et perte de conscience modérée (1-24 heures)
S06.71	hémorragie extra-durale après lésion traumatique avec plaie intracrânienne ouverte, perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.71	hémorragie extra-durale après traumatisme avec plaie intracrânienne ouverte, perte de conscience prolongée (plus de 24 heures) et retour du niveau de conscience pré-existant
S06.71	hémorragie extra-durale après lésion traumatique avec plaie intracrânienne ouverte et perte de conscience prolongée (plus de 24 heures) sans retour du niveau de conscience pré-existant
S06.71	hémorragie extra-durale après traumatisme avec plaie intracrânienne ouverte et perte de conscience prolongée (plus de 24 heures) sans retour du niveau de conscience pré-existant
S06.71	hémorragie extra-durale après lésion traumatique avec plaie intracrânienne ouverte et perte de conscience de durée non précisée
S06.71	hémorragie extra-durale après traumatisme avec plaie intracrânienne ouverte et perte de conscience de durée non précisée
S06.41	hémorragie extra-durale après lésion traumatique avec plaie intracrânienne ouverte et commotion non précisée
S06.41	hémorragie extra-durale après traumatisme avec plaie intracrânienne ouverte et commotion non précisée
S29.8	lésion traumatique interne du thorax
S27.00	pneumothorax traumatique sans plaie ouverte de la cavité thoracique
S27.0	pneumothorax traumatique
S27.01	pneumothorax traumatique avec plaie ouverte de la cavité thoracique
S27.10	hémothorax traumatique sans plaie ouverte de la cavité thoracique
S27.11	hémothorax traumatique avec plaie ouverte de la cavité thoracique
S27.1	hémothorax traumatique
S27.20	hémopneumothorax traumatique sans plaie ouverte de la cavité thoracique
S27.21	hémopneumothorax traumatique avec plaie ouverte de la cavité thoracique
S27.2	hémopneumothorax traumatique
S27.2	pneumo-hémothorax traumatique
S27.3	atélectasie traumatique
S27.3	collapsus pulmonaire traumatique
S26.9	lésion traumatique du coeur
S26.90	lésion traumatique du coeur sans plaie ouverte de la cavité thoracique
S26.8	contusion du coeur
S26.8	contusion cardiaque
S26.8	contusion myocardique
S26.8	lacération du coeur sans pénétration des cavités du coeur
