S58.922D	amputation traumatique partielle de l'avant-bras gauche, niveau non spécifié, contact subséquent
S82.025N	fracture longitudinale de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S82.025P	fracture longitudinale de la rotule gauche sans déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S82.025Q	fracture longitudinale de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S82.025R	fracture longitudinale de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S82.025S	fracture longitudinale de la rotule gauche sans déplacement, séquelle
S82.026A	fracture longitudinale d'une rotule non spécifiée sans déplacement, contact initial pour une fracture fermée
S82.026B	fracture longitudinale d'une rotule non spécifiée sans déplacement, contact initial pour une fracture ouverte type I ou II
S82.026C	fracture longitudinale d'une rotule non spécifiée sans déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S82.026D	fracture longitudinale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S82.026E	fracture longitudinale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S82.026F	fracture longitudinale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S82.026G	fracture longitudinale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S82.026H	fracture longitudinale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S82.026J	fracture longitudinale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S82.026K	fracture longitudinale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S82.026M	fracture longitudinale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S82.026N	fracture longitudinale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S82.026P	fracture longitudinale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S82.026Q	fracture longitudinale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S82.026R	fracture longitudinale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S82.026S	fracture longitudinale d'une rotule non spécifiée sans déplacement, séquelle
S82.031A	fracture transversale de la rotule droite avec un déplacement, contact initial pour une fracture fermée
S82.031B	fracture transversale de la rotule droite avec un déplacement, contact initial pour une fracture ouverte type I ou II
S82.031C	fracture transversale de la rotule droite avec un déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S82.031D	fracture transversale de la rotule droite avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S82.031E	fracture transversale de la rotule droite avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S82.031F	fracture transversale de la rotule droite avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S82.031G	fracture transversale de la rotule droite avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S82.031H	fracture transversale de la rotule droite avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S82.031J	fracture transversale de la rotule droite avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S82.031K	fracture transversale de la rotule droite avec un déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S82.031M	fracture transversale de la rotule droite avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S82.031N	fracture transversale de la rotule droite avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S82.031P	fracture transversale de la rotule droite avec un déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S82.031Q	fracture transversale de la rotule droite avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S82.031R	fracture transversale de la rotule droite avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S82.031S	fracture transversale de la rotule droite avec un déplacement, séquelle
S82.032A	fracture transversale de la rotule gauche avec un déplacement, contact initial pour une fracture fermée
S82.032B	fracture transversale de la rotule gauche avec un déplacement, contact initial pour une fracture ouverte type I ou II
S82.032C	fracture transversale de la rotule gauche avec un déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S82.032D	fracture transversale de la rotule gauche avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S82.032E	fracture transversale de la rotule gauche avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S82.032F	fracture transversale de la rotule gauche avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S82.032G	fracture transversale de la rotule gauche avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S82.032H	fracture transversale de la rotule gauche avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S82.032J	fracture transversale de la rotule gauche avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S82.032K	fracture transversale de la rotule gauche avec un déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S82.032M	fracture transversale de la rotule gauche avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S82.032N	fracture transversale de la rotule gauche avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S82.032P	fracture transversale de la rotule gauche avec un déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S82.032Q	fracture transversale de la rotule gauche avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S82.032R	fracture transversale de la rotule gauche avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S82.032S	fracture transversale de la rotule gauche avec un déplacement, séquelle
S82.033A	fracture transversale d'une rotule non spécifiée avec un déplacement, contact initial pour une fracture fermée
S82.033B	fracture transversale d'une rotule non spécifiée avec un déplacement, contact initial pour une fracture ouverte type I ou II
S82.033C	fracture transversale d'une rotule non spécifiée avec un déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S82.033D	fracture transversale d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S82.033E	fracture transversale d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S82.033F	fracture transversale d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S82.033G	fracture transversale d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S82.033H	fracture transversale d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S82.033J	fracture transversale d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S82.033K	fracture transversale d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S82.033M	fracture transversale d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S82.033N	fracture transversale d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S82.033P	fracture transversale d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S82.033Q	fracture transversale d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S82.033R	fracture transversale d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S82.033S	fracture transversale d'une rotule non spécifiée avec un déplacement, séquelle
S82.034A	fracture transversale de la rotule droite sans déplacement, contact initial pour une fracture fermée
S82.034B	fracture transversale de la rotule droite sans déplacement, contact initial pour une fracture ouverte type I ou II
S82.034C	fracture transversale de la rotule droite sans déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S82.034D	fracture transversale de la rotule droite sans déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S82.034E	fracture transversale de la rotule droite sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S82.034F	fracture transversale de la rotule droite sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S82.034G	fracture transversale de la rotule droite sans déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S82.034H	fracture transversale de la rotule droite sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S82.034J	fracture transversale de la rotule droite sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S82.034K	fracture transversale de la rotule droite sans déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S82.034M	fracture transversale de la rotule droite sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S82.034N	fracture transversale de la rotule droite sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S82.034P	fracture transversale de la rotule droite sans déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S82.034Q	fracture transversale de la rotule droite sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S82.034R	fracture transversale de la rotule droite sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S82.034S	fracture transversale de la rotule droite sans déplacement, séquelle
S82.035A	fracture transversale de la rotule gauche sans déplacement, contact initial pour une fracture fermée
S82.035B	fracture transversale de la rotule gauche sans déplacement, contact initial pour une fracture ouverte type I ou II
S82.035C	fracture transversale de la rotule gauche sans déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S82.035D	fracture transversale de la rotule gauche sans déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S82.035E	fracture transversale de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S82.035F	fracture transversale de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S82.035G	fracture transversale de la rotule gauche sans déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S82.035H	fracture transversale de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S82.035J	fracture transversale de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S82.035K	fracture transversale de la rotule gauche sans déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S82.035M	fracture transversale de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S82.035N	fracture transversale de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S82.035P	fracture transversale de la rotule gauche sans déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S82.035Q	fracture transversale de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S82.035R	fracture transversale de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S82.035S	fracture transversale de la rotule gauche sans déplacement, séquelle
S82.036A	fracture transversale d'une rotule non spécifiée sans déplacement, contact initial pour une fracture fermée
S82.036B	fracture transversale d'une rotule non spécifiée sans déplacement, contact initial pour une fracture ouverte type I ou II
S82.036C	fracture transversale d'une rotule non spécifiée sans déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S82.036D	fracture transversale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S82.036E	fracture transversale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S82.036F	fracture transversale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S82.036G	fracture transversale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S82.036H	fracture transversale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S82.036J	fracture transversale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S82.036K	fracture transversale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S82.036M	fracture transversale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S82.036N	fracture transversale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S82.036P	fracture transversale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S82.036Q	fracture transversale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S82.036R	fracture transversale d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S82.036S	fracture transversale d'une rotule non spécifiée sans déplacement, séquelle
S82.041A	fracture comminutive de la rotule droite avec un déplacement, contact initial pour une fracture fermée
S82.041B	fracture comminutive de la rotule droite avec un déplacement, contact initial pour une fracture ouverte type I ou II
S82.041C	fracture comminutive de la rotule droite avec un déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S82.041D	fracture comminutive de la rotule droite avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S82.041E	fracture comminutive de la rotule droite avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S82.041F	fracture comminutive de la rotule droite avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S82.041G	fracture comminutive de la rotule droite avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S82.041H	fracture comminutive de la rotule droite avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S82.041J	fracture comminutive de la rotule droite avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S82.041K	fracture comminutive de la rotule droite avec un déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S82.041M	fracture comminutive de la rotule droite avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S82.041N	fracture comminutive de la rotule droite avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S82.041P	fracture comminutive de la rotule droite avec un déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S82.041Q	fracture comminutive de la rotule droite avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S82.041R	fracture comminutive de la rotule droite avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S82.041S	fracture comminutive de la rotule droite avec un déplacement, séquelle
S82.042A	fracture comminutive de la rotule gauche avec un déplacement, contact initial pour une fracture fermée
S82.042B	fracture comminutive de la rotule gauche avec un déplacement, contact initial pour une fracture ouverte type I ou II
S82.042C	fracture comminutive de la rotule gauche avec un déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S82.042D	fracture comminutive de la rotule gauche avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S82.042E	fracture comminutive de la rotule gauche avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S82.042F	fracture comminutive de la rotule gauche avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S82.042G	fracture comminutive de la rotule gauche avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S82.042H	fracture comminutive de la rotule gauche avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S82.042J	fracture comminutive de la rotule gauche avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S82.042K	fracture comminutive de la rotule gauche avec un déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S82.042M	fracture comminutive de la rotule gauche avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S82.042N	fracture comminutive de la rotule gauche avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S82.042P	fracture comminutive de la rotule gauche avec un déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S82.042Q	fracture comminutive de la rotule gauche avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S82.042R	fracture comminutive de la rotule gauche avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S82.042S	fracture comminutive de la rotule gauche avec un déplacement, séquelle
S82.043A	fracture comminutive d'une rotule non spécifiée avec un déplacement, contact initial pour une fracture fermée
S82.043B	fracture comminutive d'une rotule non spécifiée avec un déplacement, contact initial pour une fracture ouverte type I ou II
S82.043C	fracture comminutive d'une rotule non spécifiée avec un déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S82.043D	fracture comminutive d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S82.043E	fracture comminutive d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S82.043F	fracture comminutive d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S82.043G	fracture comminutive d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S82.043H	fracture comminutive d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S82.043J	fracture comminutive d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S82.043K	fracture comminutive d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S82.043M	fracture comminutive d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S82.043N	fracture comminutive d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S82.043P	fracture comminutive d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S82.043Q	fracture comminutive d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S82.043R	fracture comminutive d'une rotule non spécifiée avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S82.043S	fracture comminutive d'une rotule non spécifiée avec un déplacement, séquelle
S82.044A	fracture comminutive de la rotule droite sans déplacement, contact initial pour une fracture fermée
S82.044B	fracture comminutive de la rotule droite sans déplacement, contact initial pour une fracture ouverte type I ou II
S82.044C	fracture comminutive de la rotule droite sans déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S82.044D	fracture comminutive de la rotule droite sans déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S82.044E	fracture comminutive de la rotule droite sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S82.044F	fracture comminutive de la rotule droite sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S82.044G	fracture comminutive de la rotule droite sans déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S82.044H	fracture comminutive de la rotule droite sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S82.044J	fracture comminutive de la rotule droite sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S82.044K	fracture comminutive de la rotule droite sans déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S82.044M	fracture comminutive de la rotule droite sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S82.044N	fracture comminutive de la rotule droite sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S82.044P	fracture comminutive de la rotule droite sans déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S82.044Q	fracture comminutive de la rotule droite sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S82.044R	fracture comminutive de la rotule droite sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S82.044S	fracture comminutive de la rotule droite sans déplacement, séquelle
S82.045A	fracture comminutive de la rotule gauche sans déplacement, contact initial pour une fracture fermée
S82.109R	fracture non spécifiée de l'extrémité proximale d'un tibia non spécifié, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S82.109S	fracture non spécifiée de l'extrémité proximale d'un tibia non spécifié, séquelle
S82.111A	fracture de l'épine tibiale droite avec un déplacement, contact initial pour une fracture fermée
S82.111B	fracture de l'épine tibiale droite avec un déplacement, contact initial pour une fracture ouverte type I ou II
S82.134A	fracture du plateau tibial interne droit sans déplacement, contact initial pour une fracture fermée
S82.134B	fracture du plateau tibial interne droit sans déplacement, contact initial pour une fracture ouverte type I ou II
S82.134C	fracture du plateau tibial interne droit sans déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S82.134D	fracture du plateau tibial interne droit sans déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S82.134E	fracture du plateau tibial interne droit sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S82.161A	fracture en motte de beurre de l'extrémité proximale du tibia droit, contact initial pour une fracture fermée
S82.161D	fracture en motte de beurre de l'extrémité proximale du tibia droit, contact subséquent pour une fracture avec une consolidation normale
S82.161G	fracture en motte de beurre de l'extrémité proximale du tibia droit, contact subséquent pour une fracture avec une consolidation retardée
S82.161K	fracture en motte de beurre de l'extrémité proximale du tibia droit, contact subséquent pour une fracture avec pseudarthrose
S82.161P	fracture en motte de beurre de l'extrémité proximale du tibia droit, contact subséquent pour une fracture avec cal vicieux
S82.233C	fracture oblique de la diaphyse d'un tibia non spécifié avec un déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S82.233D	fracture oblique de la diaphyse d'un tibia non spécifié avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S82.233E	fracture oblique de la diaphyse d'un tibia non spécifié avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S82.233F	fracture oblique de la diaphyse d'un tibia non spécifié avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S82.233G	fracture oblique de la diaphyse d'un tibia non spécifié avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S82.252B	fracture comminutive de la diaphyse du tibia gauche avec un déplacement, contact initial pour une fracture ouverte type I ou II
S82.252C	fracture comminutive de la diaphyse du tibia gauche avec un déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S82.252D	fracture comminutive de la diaphyse du tibia gauche avec un déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S82.252E	fracture comminutive de la diaphyse du tibia gauche avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S82.252F	fracture comminutive de la diaphyse du tibia gauche avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S82.263J	fracture segmentaire de la diaphyse d'un tibia non spécifié avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S82.263K	fracture segmentaire de la diaphyse d'un tibia non spécifié avec un déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S82.263M	fracture segmentaire de la diaphyse d'un tibia non spécifié avec un déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S82.263N	fracture segmentaire de la diaphyse d'un tibia non spécifié avec un déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S82.302C	fracture non spécifiée de l'extrémité distale du tibia gauche, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S82.302D	fracture non spécifiée de l'extrémité distale du tibia gauche, contact subséquent pour une fracture fermée avec une consolidation normale
S82.302E	fracture non spécifiée de l'extrémité distale du tibia gauche, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S82.302F	fracture non spécifiée de l'extrémité distale du tibia gauche, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S82.302G	fracture non spécifiée de l'extrémité distale du tibia gauche, contact subséquent pour une fracture fermée avec une consolidation retardée
S82.045B	fracture comminutive de la rotule gauche sans déplacement, contact initial pour une fracture ouverte type I ou II
S82.045C	fracture comminutive de la rotule gauche sans déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S82.045D	fracture comminutive de la rotule gauche sans déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S82.045E	fracture comminutive de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S82.045F	fracture comminutive de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S82.045G	fracture comminutive de la rotule gauche sans déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
S82.045H	fracture comminutive de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation retardée
S82.045J	fracture comminutive de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation retardée
S82.045K	fracture comminutive de la rotule gauche sans déplacement, contact subséquent pour une fracture fermée avec pseudarthrose
S82.045M	fracture comminutive de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec pseudarthrose
S82.045N	fracture comminutive de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec pseudarthrose
S82.045P	fracture comminutive de la rotule gauche sans déplacement, contact subséquent pour une fracture fermée avec cal vicieux
S82.045Q	fracture comminutive de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec cal vicieux
S82.045R	fracture comminutive de la rotule gauche sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec cal vicieux
S82.045S	fracture comminutive de la rotule gauche sans déplacement, séquelle
S82.046A	fracture comminutive d'une rotule non spécifiée sans déplacement, contact initial pour une fracture fermée
S82.046B	fracture comminutive d'une rotule non spécifiée sans déplacement, contact initial pour une fracture ouverte type I ou II
S82.046C	fracture comminutive d'une rotule non spécifiée sans déplacement, contact initial pour une fracture ouverte type IIIA, IIIB, ou IIIC
S82.046D	fracture comminutive d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture fermée avec une consolidation normale
S82.046E	fracture comminutive d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type I ou II avec une consolidation normale
S82.046F	fracture comminutive d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture ouverte type IIIA, IIIB, ou IIIC avec une consolidation normale
S82.046G	fracture comminutive d'une rotule non spécifiée sans déplacement, contact subséquent pour une fracture fermée avec une consolidation retardée
