W00.0XXA	chute sur le même niveau due à la glace et la neige, contact initial
W55.59XD	autre contact avec un raton laveur, contact subséquent
W55.59XS	autre contact avec un raton laveur, séquelle
W55.81XA	mordu par d'autres mammifères, contact initial
W55.81XD	mordu par d'autres mammifères, contact subséquent
W55.81XS	mordu par d'autres mammifères, séquelle
W55.82XA	heurté par d'autres mammifères, contact initial
W55.82XD	heurté par d'autres mammifères, contact subséquent
W55.82XS	heurté par d'autres mammifères, séquelle
W55.89XA	autre contact avec d'autres mammifères, contact initial
W55.89XD	autre contact avec d'autres mammifères, contact subséquent
W55.89XS	autre contact avec d'autres mammifères, séquelle
W56.01XA	mordu par un dauphin, contact initial
W56.01XD	mordu par un dauphin, contact subséquent
W56.01XS	mordu par un dauphin, séquelle
W56.02XA	heurté par un dauphin, contact initial
W56.02XD	heurté par un dauphin, contact subséquent
W56.02XS	heurté par un dauphin, séquelle
W56.09XA	autre contact avec un dauphin, contact initial
W56.09XD	autre contact avec un dauphin, contact subséquent
W56.09XS	autre contact avec un dauphin, séquelle
W56.11XA	mordu par un lion de mer, contact initial
W56.11XD	mordu par un lion de mer, contact subséquent
W56.11XS	mordu par un lion de mer, séquelle
W56.12XA	heurté par un lion de mer, contact initial
W56.12XD	heurté par un lion de mer, contact subséquent
W56.12XS	heurté par un lion de mer, séquelle
W56.19XA	autre contact avec un lion de mer, contact initial
W56.19XD	autre contact avec un lion de mer, contact subséquent
W56.19XS	autre contact avec un lion de mer, séquelle
W56.21XA	mordu par un orque, contact initial
W56.21XD	mordu par un orque, contact subséquent
W56.21XS	mordu par un orque, séquelle
W56.22XA	heurté par un orque, contact initial
W56.22XD	heurté par un orque, contact subséquent
W56.22XS	heurté par un orque, séquelle
W56.29XA	autre contact avec un orque, contact initial
W56.29XD	autre contact avec un orque, contact subséquent
W56.29XS	autre contact avec un orque, séquelle
W56.31XA	mordu par d'autres mammifères marins, contact initial
W56.31XD	mordu par d'autres mammifères marins, contact subséquent
W56.31XS	mordu par d'autres mammifères marins, séquelle
W56.32XA	heurté par d'autres mammifères marins, contact initial
W56.32XD	heurté par d'autres mammifères marins, contact subséquent
W56.32XS	heurté par d'autres mammifères marins, séquelle
W56.39XA	autre contact avec d'autres mammifères marins, contact initial
W56.39XD	autre contact avec d'autres mammifères marins, contact subséquent
W56.39XS	autre contact avec d'autres mammifères marins, séquelle
W56.41XA	mordu par un requin, contact initial
W56.41XD	mordu par un requin, contact subséquent
W56.41XS	mordu par un requin, séquelle
W56.42XA	heurté par un requin, contact initial
W56.42XD	heurté par un requin, contact subséquent
W56.42XS	heurté par un requin, séquelle
W56.49XA	autre contact avec un requin, contact initial
W56.49XD	autre contact avec un requin, contact subséquent
W56.49XS	autre contact avec un requin, séquelle
W56.51XA	mordu par d'autres poissons, contact initial
W56.51XD	mordu par d'autres poissons, contact subséquent
W56.51XS	mordu par d'autres poissons, séquelle
W56.52XA	heurté par d'autres poissons, contact initial
W56.52XD	heurté par d'autres poissons, contact subséquent
W56.52XS	heurté par d'autres poissons, séquelle
W56.59XA	autre contact avec d'autres poissons, contact initial
W56.59XD	autre contact avec d'autres poissons, contact subséquent
W56.59XS	autre contact avec d'autres poissons, séquelle
W56.81XA	mordu par d'autres animaux marins non venimeux, contact initial
W56.81XD	mordu par d'autres animaux marins non venimeux, contact subséquent
W58.01XS	mordu par un alligator, séquelle
W58.02XA	heurté par un alligator, contact initial
W58.02XD	heurté par un alligator, contact subséquent
W58.02XS	heurté par un alligator, séquelle
W58.03XA	broyé par un alligator, contact initial
W58.03XD	broyé par un alligator, contact subséquent
W58.03XS	broyé par un alligator, séquelle
W58.09XA	autre contact avec un alligator, contact initial
W58.09XD	autre contact avec un alligator, contact subséquent
W58.09XS	autre contact avec un alligator, séquelle
W58.11XA	mordu par un crocodile, contact initial
W58.11XD	mordu par un crocodile, contact subséquent
W58.11XS	mordu par un crocodile, séquelle
W58.12XA	heurté par un crocodile, contact initial
W58.12XD	heurté par un crocodile, contact subséquent
W58.12XS	heurté par un crocodile, séquelle
W58.13XA	broyé par un crocodile, contact initial
W58.13XD	broyé par un crocodile, contact subséquent
W58.13XS	broyé par un crocodile, séquelle
W58.19XA	autre contact avec un crocodile, contact initial
W58.19XD	autre contact avec un crocodile, contact subséquent
W58.19XS	autre contact avec un crocodile, séquelle
W59.01XA	mordu par des lézards non venimeux, contact initial
W59.01XD	mordu par des lézards non venimeux, contact subséquent
W59.01XS	mordu par des lézards non venimeux, séquelle
W59.02XA	heurté par des lézards non venimeux, contact initial
W59.02XD	heurté par des lézards non venimeux, contact subséquent
W59.02XS	heurté par des lézards non venimeux, séquelle
W59.09XA	autre contact avec des lézards non venimeux, contact initial
W59.09XD	autre contact avec des lézards non venimeux, contact subséquent
W59.09XS	autre contact avec des lézards non venimeux, séquelle
W59.11XA	mordu par un serpent non venimeux, contact initial
W59.11XD	mordu par un serpent non venimeux, contact subséquent
W59.11XS	mordu par un serpent non venimeux, séquelle
W59.12XA	heurté par un serpent non venimeux, contact initial
W59.12XD	heurté par un serpent non venimeux, contact subséquent
W59.12XS	heurté par un serpent non venimeux, séquelle
W59.13XA	broyé par un serpent non venimeux, contact initial
W59.13XD	broyé par un serpent non venimeux, contact subséquent
W59.13XS	broyé par un serpent non venimeux, séquelle
W59.19XA	autre contact avec un serpent non venimeux, contact initial
W59.19XD	autre contact avec un serpent non venimeux, contact subséquent
W59.19XS	autre contact avec un serpent non venimeux, séquelle
W59.21XA	mordu par une tortue, contact initial
W59.21XD	mordu par une tortue, contact subséquent
W59.21XS	mordu par une tortue, séquelle
W59.22XA	heurté par une tortue, contact initial
W59.22XD	heurté par une tortue, contact subséquent
W59.22XS	heurté par une tortue, séquelle
W59.29XA	autre contact avec une tortue, contact initial
W59.29XD	autre contact avec une tortue, contact subséquent
W59.29XS	autre contact avec une tortue, séquelle
W59.81XA	mordu par d'autres reptiles non venimeux, contact initial
W59.81XD	mordu par d'autres reptiles non venimeux, contact subséquent
W59.81XS	mordu par d'autres reptiles non venimeux, séquelle
W59.82XA	heurté par d'autres reptiles non venimeux, contact initial
W59.82XD	heurté par d'autres reptiles non venimeux, contact subséquent
W59.82XS	heurté par d'autres reptiles non venimeux, séquelle
W59.83XA	broyé par d'autres reptiles non venimeux, contact initial
W59.83XD	broyé par d'autres reptiles non venimeux, contact subséquent
W59.83XS	broyé par d'autres reptiles non venimeux, séquelle
W59.89XA	autre contact avec d'autres reptiles non venimeux, contact initial
W59.89XD	autre contact avec d'autres reptiles non venimeux, contact subséquent
W59.89XS	autre contact avec d'autres reptiles non venimeux, séquelle
W60.XXXA	contact avec des épines, des piquants et des feuilles tranchantes de plante non venimeuses, contact initial
W60.XXXD	contact avec des épines, des piquants et des feuilles tranchantes de plante non venimeuses, contact subséquent
W60.XXXS	contact avec des épines, des piquants et des feuilles tranchantes de plante non venimeuses, séquelle
W61.01XA	mordu par un perroquet, contact initial
W61.01XD	mordu par un perroquet, contact subséquent
W61.01XS	mordu par un perroquet, séquelle
W61.02XA	heurté par un perroquet, contact initial
W61.02XD	heurté par un perroquet, contact subséquent
W61.02XS	heurté par un perroquet, séquelle
W61.09XA	autre contact avec un perroquet, contact initial
W61.09XD	autre contact avec un perroquet, contact subséquent
W61.09XS	autre contact avec un perroquet, séquelle
W61.11XA	mordu par un ara, contact initial
W61.11XD	mordu par un ara, contact subséquent
W61.11XS	mordu par un ara, séquelle
W61.12XA	heurté par un ara, contact initial
W61.12XD	heurté par un ara, contact subséquent
W61.12XS	heurté par un ara, séquelle
W61.19XA	autre contact avec un ara, contact initial
W61.19XD	autre contact avec un ara, contact subséquent
W61.19XS	autre contact avec un ara, séquelle
W61.21XA	mordu par d'autres psittacidés, contact initial
W61.21XD	mordu par d'autres psittacidés, contact subséquent
W61.21XS	mordu par d'autres psittacidés, séquelle
W61.22XA	heurté par d'autres psittacidés, contact initial
W61.22XD	heurté par d'autres psittacidés, contact subséquent
W61.22XS	heurté par d'autres psittacidés, séquelle
W61.29XA	autre contact avec d'autres psittacidés, contact initial
W61.29XD	autre contact avec d'autres psittacidés, contact subséquent
W61.29XS	autre contact avec d'autres psittacidés, séquelle
W61.32XA	heurté par un poulet, contact initial
W61.32XD	heurté par un poulet, contact subséquent
W61.32XS	heurté par un poulet, séquelle
W61.33XA	becqueté par un poulet, contact initial
W61.33XD	becqueté par un poulet, contact subséquent
W61.33XS	becqueté par un poulet, séquelle
W61.39XA	autre contact avec un poulet, contact initial
W61.39XD	autre contact avec un poulet, contact subséquent
W61.39XS	autre contact avec un poulet, séquelle
W61.42XA	heurté par une dinde, contact initial
W61.42XD	heurté par une dinde, contact subséquent
W61.42XS	heurté par une dinde, séquelle
W61.43XA	becqueté par une dinde, contact initial
W61.43XD	becqueté par une dinde, contact subséquent
W61.43XS	becqueté par une dinde, séquelle
W61.49XA	autre contact avec une dinde, contact initial
W61.49XD	autre contact avec une dinde, contact subséquent
W61.49XS	autre contact avec une dinde, séquelle
W61.51XA	mordu par une oie, contact initial
W61.51XD	mordu par une oie, contact subséquent
W61.51XS	mordu par une oie, séquelle
W61.52XA	heurté par une oie, contact initial
W61.52XD	heurté par une oie, contact subséquent
W61.52XS	heurté par une oie, séquelle
W61.59XA	autre contact avec une oie, contact initial
W61.59XD	autre contact avec une oie, contact subséquent
W61.59XS	autre contact avec une oie, séquelle
W61.61XA	mordu par un canard, contact initial
W61.61XD	mordu par un canard, contact subséquent
W61.61XS	mordu par un canard, séquelle
W61.62XA	heurté par un canard, contact initial
W61.62XD	heurté par un canard, contact subséquent
W61.62XS	heurté par un canard, séquelle
W61.69XA	autre contact avec un canard, contact initial
W61.69XD	autre contact avec un canard, contact subséquent
W61.69XS	autre contact avec un canard, séquelle
W61.91XA	mordu par d'autres oiseaux, contact initial
W61.91XD	mordu par d'autres oiseaux, contact subséquent
W61.91XS	mordu par d'autres oiseaux, séquelle
W61.92XA	heurté par d'autres oiseaux, contact initial
W61.92XD	heurté par d'autres oiseaux, contact subséquent
W61.92XS	heurté par d'autres oiseaux, séquelle
W61.99XA	autre contact avec d'autres oiseaux, contact initial
W61.99XD	autre contact avec d'autres oiseaux, contact subséquent
W61.99XS	autre contact avec d'autres oiseaux, séquelle
W62.0XXA	contact avec des grenouilles non venimeuses, contact initial
W62.0XXD	contact avec des grenouilles non venimeuses, contact subséquent
W62.0XXS	contact avec des grenouilles non venimeuses, séquelle
W62.1XXA	contact avec des crapauds non venimeux, contact initial
W62.1XXD	contact avec des crapauds non venimeux, contact subséquent
W62.1XXS	contact avec des crapauds non venimeux, séquelle
W62.9XXA	contact avec d'autres amphibiens non venimeux, contact initial
W62.9XXD	contact avec d'autres amphibiens non venimeux, contact subséquent
W62.9XXS	contact avec d'autres amphibiens non venimeux, séquelle
W64.XXXA	exposition à d'autres forces mécaniques animées, contact initial
W64.XXXD	exposition à d'autres forces mécaniques animées, contact subséquent
W64.XXXS	exposition à d'autres forces mécaniques animées, séquelle
W65.XXXA	noyade et submersion accidentelles dans une baignoire, contact initial
W65.XXXD	noyade et submersion accidentelles dans une baignoire, contact subséquent
W65.XXXS	noyade et submersion accidentelles dans une baignoire, séquelle
W67.XXXA	noyade et submersion accidentelles dans une piscine, contact initial
W67.XXXD	noyade et submersion accidentelles dans une piscine, contact subséquent
W67.XXXS	noyade et submersion accidentelles dans une piscine, séquelle
W69.XXXA	noyade et submersion accidentelles dans des eaux naturelles, contact initial
W69.XXXD	noyade et submersion accidentelles dans des eaux naturelles, contact subséquent
W69.XXXS	noyade et submersion accidentelles dans des eaux naturelles, séquelle
W73.XXXA	autre cause spécifiée d'une noyade et d'une submersion accidentelles non liées au transport, contact initial
W73.XXXD	autre cause spécifiée d'une noyade et d'une submersion accidentelles non liées au transport, contact subséquent
W73.XXXS	autre cause spécifiée d'une noyade et d'une submersion accidentelles non liées au transport, séquelle
W74.XXXA	cause non spécifiée d'une noyade et d'une submersion accidentelles, contact initial
W74.XXXD	cause non spécifiée d'une noyade et d'une submersion accidentelles, contact subséquent
W74.XXXS	cause non spécifiée d'une noyade et d'une submersion accidentelles, séquelle
W85.XXXA	exposition aux lignes électriques, contact initial
W85.XXXD	exposition aux lignes électriques, contact subséquent
W85.XXXS	exposition aux lignes électriques, séquelle
W86.0XXA	exposition aux câblages et appareils domestiques, contact initial
W86.0XXD	exposition aux câblages et appareils domestiques, contact subséquent
W86.0XXS	exposition aux câblages et appareils domestiques, séquelle
W86.1XXA	exposition aux câblages, appareils et machines électriques industriels, contact initial
W86.1XXD	exposition aux câblages, appareils et machines électriques industriels, contact subséquent
W86.1XXS	exposition aux câblages, appareils et machines électriques industriels, séquelle
W86.8XXA	exposition à d'autre courant électrique, contact initial
W86.8XXD	exposition à d'autre courant électrique, contact subséquent
W86.8XXS	exposition à d'autre courant électrique, séquelle
W88.0XXA	exposition aux rayons X, contact initial
W88.0XXD	exposition aux rayons X, contact subséquent
W88.0XXS	exposition aux rayons X, séquelle
W88.1XXA	exposition aux isotopes radioactifs, contact initial
W88.1XXD	exposition aux isotopes radioactifs, contact subséquent
W88.1XXS	exposition aux isotopes radioactifs, séquelle
W88.8XXA	exposition à d'autre rayonnement ionisant, contact initial
W88.8XXD	exposition à d'autre rayonnement ionisant, contact subséquent
W88.8XXS	exposition à d'autre rayonnement ionisant, séquelle
W89.0XXA	exposition à la lumière de soudure à l'arc, contact initial
W89.0XXD	exposition à la lumière de soudure à l'arc, contact subséquent
W89.0XXS	exposition à la lumière de soudure à l'arc, séquelle
W89.1XXA	exposition au banc solaire, contact initial
W89.1XXD	exposition au banc solaire, contact subséquent
W89.1XXS	exposition au banc solaire, séquelle
W89.8XXA	exposition à une autre source lumineuse artificielle visible et aux ultraviolets, contact initial
W89.8XXD	exposition à une autre source lumineuse artificielle visible et aux ultraviolets, contact subséquent
W89.8XXS	exposition à une autre source lumineuse artificielle visible et aux ultraviolets, séquelle
W89.9XXA	exposition à une source lumineuse artificielle visible et aux ultraviolets non spécifiés, contact initial
W89.9XXD	exposition à une source lumineuse artificielle visible et aux ultraviolets non spécifiés, contact subséquent
W89.9XXS	exposition à une source lumineuse artificielle visible et aux ultraviolets non spécifiés, séquelle
W90.0XXA	exposition aux fréquences radio, contact initial
W90.0XXD	exposition aux fréquences radio, contact subséquent
W90.0XXS	exposition aux fréquences radio, séquelle
W90.1XXA	exposition au rayonnement infrarouge, contact initial
W90.1XXD	exposition au rayonnement infrarouge, contact subséquent
W90.1XXS	exposition au rayonnement infrarouge, séquelle
W90.2XXA	exposition au rayonnement laser, contact initial
W90.2XXD	exposition au rayonnement laser, contact subséquent
W90.2XXS	exposition au rayonnement laser, séquelle
W90.8XXA	exposition à d'autre rayonnement non ionisant, contact initial
W90.8XXD	exposition à d'autre rayonnement non ionisant, contact subséquent
W90.8XXS	exposition à d'autre rayonnement non ionisant, séquelle
W92.XXXA	exposition à la chaleur artificielle excessive, contact initial
W92.XXXD	exposition à la chaleur artificielle excessive, contact subséquent
W92.XXXS	exposition à la chaleur artificielle excessive, séquelle
W93.01XA	contact avec la neige carbonique, contact initial
W93.01XD	contact avec la neige carbonique, contact subséquent
W93.01XS	contact avec la neige carbonique, séquelle
W93.02XA	inhalation de la neige carbonique, contact initial
W93.02XD	inhalation de la neige carbonique, contact subséquent
W93.02XS	inhalation de la neige carbonique, séquelle
W93.11XA	contact avec de l'air liquide, contact initial
W93.11XD	contact avec de l'air liquide, contact subséquent
W93.11XS	contact avec de l'air liquide, séquelle
W93.12XA	inhalation d'air liquide, contact initial
W93.12XD	inhalation d'air liquide, contact subséquent
W93.12XS	inhalation d'air liquide, séquelle
W93.2XXA	exposition prolongée dans un congélateur ou un réfrigérateur, contact initial
W93.2XXD	exposition prolongée dans un congélateur ou un réfrigérateur, contact subséquent
W93.2XXS	exposition prolongée dans un congélateur ou un réfrigérateur, séquelle
W93.8XXA	exposition à d'autre froid artificiel excessif, contact initial
W93.8XXD	exposition à d'autre froid artificiel excessif, contact subséquent
W93.8XXS	exposition à d'autre froid artificiel excessif, séquelle
W94.0XXA	exposition à une haute pression atmosphérique prolongée, contact initial
W94.0XXD	exposition à une haute pression atmosphérique prolongée, contact subséquent
W94.0XXS	exposition à une haute pression atmosphérique prolongée, séquelle
W94.11XA	exposition par une résidence ou un séjour prolongé en haute altitude, contact initial
W94.11XD	exposition par une résidence ou un séjour prolongé en haute altitude, contact subséquent
W94.11XS	exposition par une résidence ou un séjour prolongé en haute altitude, séquelle
W94.12XA	exposition à une autre dépression atmosphérique prolongée, contact initial
W94.12XD	exposition à une autre dépression atmosphérique prolongée, contact subséquent
W94.12XS	exposition à une autre dépression atmosphérique prolongée, séquelle
W94.21XA	exposition à une réduction de pression atmosphérique lors de la remontée durant une plongée sous-marine, contact initial
W94.21XD	exposition à une réduction de pression atmosphérique lors de la remontée durant une plongée sous-marine, contact subséquent
W94.21XS	exposition à une réduction de pression atmosphérique lors de la remontée durant une plongée sous-marine, séquelle
W94.22XA	exposition à une réduction de pression atmosphérique lors de la remontée après un séjour sous terre, contact initial
W94.22XD	exposition à une réduction de pression atmosphérique lors de la remontée après un séjour sous terre, contact subséquent
W94.22XS	exposition à une réduction de pression atmosphérique lors de la remontée après un séjour sous terre, séquelle
W94.23XA	exposition à une modification brusque de la pression d'air dans un aéronef en cours d'une ascension, contact initial
W94.23XD	exposition à une modification brusque de la pression d'air dans un aéronef en cours d'une ascension, contact subséquent
W94.23XS	exposition à une modification brusque de la pression d'air dans un aéronef en cours d'une ascension, séquelle
W94.29XA	exposition à d'autres modifications rapides de la pression d'air en cours d'une ascension, contact initial
W94.29XD	exposition à d'autres modifications rapides de la pression d'air en cours d'une ascension, contact subséquent
W94.29XS	exposition à d'autres modifications rapides de la pression d'air en cours d'une ascension, séquelle
W94.31XA	exposition à une modification brusque de la pression d'air dans un aéronef en cours de descente, contact initial
W94.31XD	exposition à une modification brusque de la pression d'air dans un aéronef en cours de descente, contact subséquent
W94.31XS	exposition à une modification brusque de la pression d'air dans un aéronef en cours de descente, séquelle
W94.32XA	exposition à une pression d'air élevée par une descente rapide dans l'eau, contact initial
W94.32XD	exposition à une pression d'air élevée par une descente rapide dans l'eau, contact subséquent
W94.32XS	exposition à une pression d'air élevée par une descente rapide dans l'eau, séquelle
W94.39XA	exposition à d'autres modifications rapides de la pression d'air en cours d'une descente, contact initial
W94.39XD	exposition à d'autres modifications rapides de la pression d'air en cours d'une descente, contact subséquent
W94.39XS	exposition à d'autres modifications rapides de la pression d'air en cours d'une descente, séquelle
W99.XXXA	exposition à d'autres facteurs environnementaux artificiels, contact initial
W99.XXXD	exposition à d'autres facteurs environnementaux artificiels, contact subséquent
W99.XXXS	exposition à d'autres facteurs environnementaux artificiels, séquelle
