T07	multiples traumatismes non spécifiés
T45.612A	intoxication par un médicament thrombolytique, auto-infligée, contact initial
T45.612D	intoxication par un médicament thrombolytique, auto-infligée, contact subséquent
T45.612S	intoxication par un médicament thrombolytique, auto-infligée, séquelle
T45.613A	intoxication par un médicament thrombolytique, agression, contact initial
T45.613D	intoxication par un médicament thrombolytique, agression, contact subséquent
T45.613S	intoxication par un médicament thrombolytique, agression, séquelle
T45.614A	intoxication par un médicament thrombolytique, intention indéterminée, contact initial
T45.614D	intoxication par un médicament thrombolytique, intention indéterminée, contact subséquent
T45.614S	intoxication par un médicament thrombolytique, intention indéterminée, séquelle
T45.615A	réaction secondaire aux médicaments thrombolytiques, contact initial
T45.615D	réaction secondaire aux médicaments thrombolytiques, contact subséquent
T45.615S	réaction secondaire aux médicaments thrombolytiques, séquelle
T45.616A	sous-dosage en médicaments thrombolytiques, contact initial
T45.616D	sous-dosage en médicaments thrombolytiques, contact subséquent
T45.616S	sous-dosage en médicaments thrombolytiques, séquelle
T45.621A	intoxication par un médicament hémostatique, accidentelle (involontaire), contact initial
T45.621D	intoxication par un médicament hémostatique, accidentelle (involontaire), contact subséquent
T45.621S	intoxication par un médicament hémostatique, accidentelle (involontaire), séquelle
T45.622A	intoxication par un médicament hémostatique, auto-infligée, contact initial
T45.622D	intoxication par un médicament hémostatique, auto-infligée, contact subséquent
T45.622S	intoxication par un médicament hémostatique, auto-infligée, séquelle
T45.623A	intoxication par un médicament hémostatique, agression, contact initial
T45.623D	intoxication par un médicament hémostatique, agression, contact subséquent
T45.623S	intoxication par un médicament hémostatique, agression, séquelle
T45.624A	intoxication par un médicament hémostatique, intention indéterminée, contact initial
T45.624D	intoxication par un médicament hémostatique, intention indéterminée, contact subséquent
T45.624S	intoxication par un médicament hémostatique, intention indéterminée, séquelle
T45.625A	réaction secondaire à un médicament hémostatique, contact initial
T45.625D	réaction secondaire à un médicament hémostatique, contact subséquent
T45.625S	réaction secondaire à un médicament hémostatique, séquelle
T45.626A	sous-dosage en médicaments hémostatiques, contact initial
T45.626D	sous-dosage en médicaments hémostatiques, contact subséquent
T45.626S	sous-dosage en médicaments hémostatiques, séquelle
T45.691A	intoxication par d'autres médicaments agissant sur la fibrinolyse, accidentelle (involontaire), contact initial
T45.691D	intoxication par d'autres médicaments agissant sur la fibrinolyse, accidentelle (involontaire), contact subséquent
T45.691S	intoxication par d'autres médicaments agissant sur la fibrinolyse, accidentelle (involontaire), séquelle
T45.692A	intoxication par d'autres médicaments agissant sur la fibrinolyse, auto-infligée, contact initial
T45.692D	intoxication par d'autres médicaments agissant sur la fibrinolyse, auto-infligée, contact subséquent
T45.692S	intoxication par d'autres médicaments agissant sur la fibrinolyse, auto-infligée, séquelle
T45.693A	intoxication par d'autres médicaments agissant sur la fibrinolyse, agression, contact initial
T45.693D	intoxication par d'autres médicaments agissant sur la fibrinolyse, agression, contact subséquent
T45.693S	intoxication par d'autres médicaments agissant sur la fibrinolyse, agression, séquelle
T45.694A	intoxication par d'autres médicaments agissant sur la fibrinolyse, intention indéterminée, contact initial
T45.694D	intoxication par d'autres médicaments agissant sur la fibrinolyse, intention indéterminée, contact subséquent
T45.694S	intoxication par d'autres médicaments agissant sur la fibrinolyse, intention indéterminée, séquelle
T45.695A	réaction secondaire aux d'autres médicaments agissant sur la fibrinolyse, contact initial
T45.695D	réaction secondaire aux d'autres médicaments agissant sur la fibrinolyse, contact subséquent
T45.695S	réaction secondaire aux d'autres médicaments agissant sur la fibrinolyse, séquelle
T45.696A	sous-dosage en d'autres médicaments agissant sur la fibrinolyse, contact initial
T45.696D	sous-dosage en d'autres médicaments agissant sur la fibrinolyse, contact subséquent
T45.696S	sous-dosage en d'autres médicaments agissant sur la fibrinolyse, séquelle
T45.7X1A	intoxication par des antagonistes des anticoagulants, vitamine K et d'autres coagulants, accidentelle (involontaire), contact initial
T45.7X1D	intoxication par des antagonistes des anticoagulants, vitamine K et d'autres coagulants, accidentelle (involontaire), contact subséquent
T45.7X1S	intoxication par des antagonistes des anticoagulants, vitamine K et d'autres coagulants, accidentelle (involontaire), séquelle
T45.7X2A	intoxication par des antagonistes des anticoagulants, vitamine K et d'autres coagulants, auto-infligée, contact initial
T45.7X2D	intoxication par des antagonistes des anticoagulants, vitamine K et d'autres coagulants, auto-infligée, contact subséquent
T45.7X2S	intoxication par des antagonistes des anticoagulants, vitamine K et d'autres coagulants, auto-infligée, séquelle
T45.7X3A	intoxication par des antagonistes des anticoagulants, vitamine K et d'autres coagulants, agression, contact initial
T45.7X3D	intoxication par des antagonistes des anticoagulants, vitamine K et d'autres coagulants, agression, contact subséquent
T45.7X3S	intoxication par des antagonistes des anticoagulants, vitamine K et d'autres coagulants, agression, séquelle
T45.7X4A	intoxication par des antagonistes des anticoagulants, vitamine K et d'autres coagulants, intention indéterminée, contact initial
T45.7X4D	intoxication par des antagonistes des anticoagulants, vitamine K et d'autres coagulants, intention indéterminée, contact subséquent
T45.7X4S	intoxication par des antagonistes des anticoagulants, vitamine K et d'autres coagulants, intention indéterminée, séquelle
T45.7X5A	réaction secondaire aux antagonistes des anticoagulants, vitamine K et d'autres coagulants, contact initial
T45.7X5D	réaction secondaire aux antagonistes des anticoagulants, vitamine K et d'autres coagulants, contact subséquent
T45.7X5S	réaction secondaire aux antagonistes des anticoagulants, vitamine K et d'autres coagulants, séquelle
T45.7X6A	sous-dosage en antagoniste des anticoagulants, vitamine K et d'autres coagulants, contact initial
T45.7X6D	sous-dosage en antagoniste des anticoagulants, vitamine K et d'autres coagulants, contact subséquent
T45.7X6S	sous-dosage en antagoniste des anticoagulants, vitamine K et d'autres coagulants, séquelle
T45.8X1A	intoxication par d'autres substances essentiellement systémiques et hématologiques, accidentelle (involontaire), contact initial
T45.8X1D	intoxication par d'autres substances essentiellement systémiques et hématologiques, accidentelle (involontaire), contact subséquent
T45.8X1S	intoxication par d'autres substances essentiellement systémiques et hématologiques, accidentelle (involontaire), séquelle
T45.8X2A	intoxication par d'autres substances essentiellement systémiques et hématologiques, auto-infligée, contact initial
T45.8X2D	intoxication par d'autres substances essentiellement systémiques et hématologiques, auto-infligée, contact subséquent
T45.8X2S	intoxication par d'autres substances essentiellement systémiques et hématologiques, auto-infligée, séquelle
T45.8X3A	intoxication par d'autres substances essentiellement systémiques et hématologiques, agression, contact initial
T45.8X3D	intoxication par d'autres substances essentiellement systémiques et hématologiques, agression, contact subséquent
T45.8X3S	intoxication par d'autres substances essentiellement systémiques et hématologiques, agression, séquelle
T45.8X4A	intoxication par d'autres substances essentiellement systémiques et hématologiques, intention indéterminée, contact initial
T45.8X4D	intoxication par d'autres substances essentiellement systémiques et hématologiques, intention indéterminée, contact subséquent
T45.8X4S	intoxication par d'autres substances essentiellement systémiques et hématologiques, intention indéterminée, séquelle
T45.8X5A	réaction secondaire aux d'autres substances essentiellement systémiques et hématologiques, contact initial
T45.8X5D	réaction secondaire aux d'autres substances essentiellement systémiques et hématologiques, contact subséquent
T45.8X5S	réaction secondaire aux d'autres substances essentiellement systémiques et hématologiques, séquelle
T45.8X6A	sous-dosage en d'autres substances essentiellement systémiques et hématologiques, contact initial
T45.8X6D	sous-dosage en d'autres substances essentiellement systémiques et hématologiques, contact subséquent
T45.8X6S	sous-dosage en d'autres substances essentiellement systémiques et hématologiques, séquelle
T45.91XA	intoxication par une substance essentiellement systémique et hématologique non spécifiée, accidentelle (involontaire), contact initial
T45.91XD	intoxication par une substance essentiellement systémique et hématologique non spécifiée, accidentelle (involontaire), contact subséquent
T45.91XS	intoxication par une substance essentiellement systémique et hématologique non spécifiée, accidentelle (involontaire), séquelle
T45.92XA	intoxication par une substance essentiellement systémique et hématologique non spécifiée, auto-infligée, contact initial
T45.92XD	intoxication par une substance essentiellement systémique et hématologique non spécifiée, auto-infligée, contact subséquent
T45.92XS	intoxication par une substance essentiellement systémique et hématologique non spécifiée, auto-infligée, séquelle
T45.93XA	intoxication par une substance essentiellement systémique et hématologique non spécifiée, agression, contact initial
T45.93XD	intoxication par une substance essentiellement systémique et hématologique non spécifiée, agression, contact subséquent
T45.93XS	intoxication par une substance essentiellement systémique et hématologique non spécifiée, agression, séquelle
T45.94XA	intoxication par une substance essentiellement systémique et hématologique non spécifiée, intention indéterminée, contact initial
T45.94XD	intoxication par une substance essentiellement systémique et hématologique non spécifiée, intention indéterminée, contact subséquent
T45.94XS	intoxication par une substance essentiellement systémique et hématologique non spécifiée, intention indéterminée, séquelle
T45.95XA	réaction secondaire aux substance essentiellement systémique et hématologique non spécifiée, contact initial
T45.95XD	réaction secondaire aux substance essentiellement systémique et hématologique non spécifiée, contact subséquent
T45.95XS	réaction secondaire aux substance essentiellement systémique et hématologique non spécifiée, séquelle
T45.96XA	sous-dosage en substance essentiellement systémique et hématologique non spécifiée, contact initial
T45.96XD	sous-dosage en substance essentiellement systémique et hématologique non spécifiée, contact subséquent
T45.96XS	sous-dosage en substance essentiellement systémique et hématologique non spécifiée, séquelle
T46.0X1A	intoxication par des glucosides cardiotoniques et médicaments d'une action similaire, accidentelle (involontaire), contact initial
T46.0X1D	intoxication par des glucosides cardiotoniques et médicaments d'une action similaire, accidentelle (involontaire), contact subséquent
T46.0X1S	intoxication par des glucosides cardiotoniques et médicaments d'une action similaire, accidentelle (involontaire), séquelle
T46.0X2A	intoxication par des glucosides cardiotoniques et médicaments d'une action similaire, auto-infligée, contact initial
T46.0X2D	intoxication par des glucosides cardiotoniques et médicaments d'une action similaire, auto-infligée, contact subséquent
T46.0X2S	intoxication par des glucosides cardiotoniques et médicaments d'une action similaire, auto-infligée, séquelle
T46.0X3A	intoxication par des glucosides cardiotoniques et médicaments d'une action similaire, agression, contact initial
T46.0X3D	intoxication par des glucosides cardiotoniques et médicaments d'une action similaire, agression, contact subséquent
T46.0X3S	intoxication par des glucosides cardiotoniques et médicaments d'une action similaire, agression, séquelle
T46.0X4A	intoxication par des glucosides cardiotoniques et médicaments d'une action similaire, intention indéterminée, contact initial
T46.0X4D	intoxication par des glucosides cardiotoniques et médicaments d'une action similaire, intention indéterminée, contact subséquent
T46.0X4S	intoxication par des glucosides cardiotoniques et médicaments d'une action similaire, intention indéterminée, séquelle
T46.0X5A	réaction secondaire aux glucosides cardiotoniques et médicaments d'une action similaire, contact initial
T46.0X5D	réaction secondaire aux glucosides cardiotoniques et médicaments d'une action similaire, contact subséquent
T46.0X5S	réaction secondaire aux glucosides cardiotoniques et médicaments d'une action similaire, séquelle
T46.0X6A	sous-dosage en glucosides cardiotoniques et médicaments d'une action similaire, contact initial
T46.0X6D	sous-dosage en glucosides cardiotoniques et médicaments d'une action similaire, contact subséquent
T46.0X6S	sous-dosage en glucosides cardiotoniques et médicaments d'une action similaire, séquelle
T46.1X1A	intoxication par des inhibiteurs calciques, accidentelle (involontaire), contact initial
T46.1X1D	intoxication par des inhibiteurs calciques, accidentelle (involontaire), contact subséquent
T46.1X1S	intoxication par des inhibiteurs calciques, accidentelle (involontaire), séquelle
T46.1X2A	intoxication par des inhibiteurs calciques, auto-infligée, contact initial
T46.1X2D	intoxication par des inhibiteurs calciques, auto-infligée, contact subséquent
T46.1X2S	intoxication par des inhibiteurs calciques, auto-infligée, séquelle
T46.1X3A	intoxication par des inhibiteurs calciques, agression, contact initial
T46.1X3D	intoxication par des inhibiteurs calciques, agression, contact subséquent
T46.1X3S	intoxication par des inhibiteurs calciques, agression, séquelle
T46.1X4A	intoxication par des inhibiteurs calciques, intention indéterminée, contact initial
T46.1X4D	intoxication par des inhibiteurs calciques, intention indéterminée, contact subséquent
T46.1X4S	intoxication par des inhibiteurs calciques, intention indéterminée, séquelle
T46.1X5A	réaction secondaire aux inhibiteurs calciques, contact initial
T46.1X5D	réaction secondaire aux inhibiteurs calciques, contact subséquent
T46.1X5S	réaction secondaire aux inhibiteurs calciques, séquelle
T46.1X6A	sous-dosage en inhibiteurs calciques, contact initial
T46.1X6D	sous-dosage en inhibiteurs calciques, contact subséquent
T46.1X6S	sous-dosage en inhibiteurs calciques, séquelle
T46.2X1A	intoxication par d'autres antiarythmisants, accidentelle (involontaire), contact initial
T46.2X1D	intoxication par d'autres antiarythmisants, accidentelle (involontaire), contact subséquent
T46.2X1S	intoxication par d'autres antiarythmisants, accidentelle (involontaire), séquelle
T46.2X2A	intoxication par d'autres antiarythmisants, auto-infligée, contact initial
T46.2X2D	intoxication par d'autres antiarythmisants, auto-infligée, contact subséquent
T46.2X2S	intoxication par d'autres antiarythmisants, auto-infligée, séquelle
T46.2X3A	intoxication par d'autres antiarythmisants, agression, contact initial
T46.2X3D	intoxication par d'autres antiarythmisants, agression, contact subséquent
T46.2X3S	intoxication par d'autres antiarythmisants, agression, séquelle
T46.2X4A	intoxication par d'autres antiarythmisants, intention indéterminée, contact initial
T46.2X4D	intoxication par d'autres antiarythmisants, intention indéterminée, contact subséquent
T46.2X4S	intoxication par d'autres antiarythmisants, intention indéterminée, séquelle
T46.2X5A	réaction secondaire aux d'autres antiarythmisants, contact initial
T46.2X5D	réaction secondaire aux d'autres antiarythmisants, contact subséquent
T46.2X5S	réaction secondaire aux d'autres antiarythmisants, séquelle
T46.2X6A	sous-dosage en d'autres antiarythmisants, contact initial
T46.2X6D	sous-dosage en d'autres antiarythmisants, contact subséquent
T46.2X6S	sous-dosage en d'autres antiarythmisants, séquelle
T46.3X1A	intoxication par des vasodilatateurs coronariens, accidentelle (involontaire), contact initial
T46.3X1D	intoxication par des vasodilatateurs coronariens, accidentelle (involontaire), contact subséquent
T46.3X1S	intoxication par des vasodilatateurs coronariens, accidentelle (involontaire), séquelle
T46.3X2A	intoxication par des vasodilatateurs coronariens, auto-infligée, contact initial
T46.3X2D	intoxication par des vasodilatateurs coronariens, auto-infligée, contact subséquent
T46.3X2S	intoxication par des vasodilatateurs coronariens, auto-infligée, séquelle
T46.3X3A	intoxication par des vasodilatateurs coronariens, agression, contact initial
T46.3X3D	intoxication par des vasodilatateurs coronariens, agression, contact subséquent
T46.3X3S	intoxication par des vasodilatateurs coronariens, agression, séquelle
T46.3X4A	intoxication par des vasodilatateurs coronariens, intention indéterminée, contact initial
T46.3X4D	intoxication par des vasodilatateurs coronariens, intention indéterminée, contact subséquent
T46.3X4S	intoxication par des vasodilatateurs coronariens, intention indéterminée, séquelle
T46.3X5A	réaction secondaire aux vasodilatateurs coronariens, contact initial
T46.3X5D	réaction secondaire aux vasodilatateurs coronariens, contact subséquent
T46.3X5S	réaction secondaire aux vasodilatateurs coronariens, séquelle
T46.3X6A	sous-dosage en vasodilatateurs coronariens, contact initial
T46.3X6D	sous-dosage en vasodilatateurs coronariens, contact subséquent
T46.3X6S	sous-dosage en vasodilatateurs coronariens, séquelle
T46.4X1A	intoxication par des inhibiteurs de l'enzyme de conversion, accidentelle (involontaire), contact initial
T46.4X1D	intoxication par des inhibiteurs de l'enzyme de conversion, accidentelle (involontaire), contact subséquent
T46.4X1S	intoxication par des inhibiteurs de l'enzyme de conversion, accidentelle (involontaire), séquelle
T46.4X2A	intoxication par des inhibiteurs de l'enzyme de conversion, auto-infligée, contact initial
T46.4X2D	intoxication par des inhibiteurs de l'enzyme de conversion, auto-infligée, contact subséquent
T46.4X2S	intoxication par des inhibiteurs de l'enzyme de conversion, auto-infligée, séquelle
T46.4X3A	intoxication par des inhibiteurs de l'enzyme de conversion, agression, contact initial
T46.4X3D	intoxication par des inhibiteurs de l'enzyme de conversion, agression, contact subséquent
T46.4X3S	intoxication par des inhibiteurs de l'enzyme de conversion, agression, séquelle
T46.4X4A	intoxication par des inhibiteurs de l'enzyme de conversion, intention indéterminée, contact initial
T46.4X4D	intoxication par des inhibiteurs de l'enzyme de conversion, intention indéterminée, contact subséquent
T46.4X4S	intoxication par des inhibiteurs de l'enzyme de conversion, intention indéterminée, séquelle
T46.4X5A	réaction secondaire aux inhibiteurs de l'enzyme de conversion, contact initial
T46.4X5D	réaction secondaire aux inhibiteurs de l'enzyme de conversion, contact subséquent
T46.4X5S	réaction secondaire aux inhibiteurs de l'enzyme de conversion, séquelle
T46.4X6A	sous-dosage en inhibiteurs de l'enzyme de conversion, contact initial
T46.4X6D	sous-dosage en inhibiteurs de l'enzyme de conversion, contact subséquent
T46.4X6S	sous-dosage en inhibiteurs de l'enzyme de conversion, séquelle
T46.5X1A	intoxication par d'autres antihypertenseurs, accidentelle (involontaire), contact initial
T46.5X1D	intoxication par d'autres antihypertenseurs, accidentelle (involontaire), contact subséquent
T46.5X1S	intoxication par d'autres antihypertenseurs, accidentelle (involontaire), séquelle
T46.5X2A	intoxication par d'autres antihypertenseurs, auto-infligée, contact initial
T46.5X2D	intoxication par d'autres antihypertenseurs, auto-infligée, contact subséquent
T46.5X2S	intoxication par d'autres antihypertenseurs, auto-infligée, séquelle
T46.5X3A	intoxication par d'autres antihypertenseurs, agression, contact initial
T46.5X3D	intoxication par d'autres antihypertenseurs, agression, contact subséquent
T46.5X3S	intoxication par d'autres antihypertenseurs, agression, séquelle
T46.5X4A	intoxication par d'autres antihypertenseurs, intention indéterminée, contact initial
T46.5X4D	intoxication par d'autres antihypertenseurs, intention indéterminée, contact subséquent
T46.5X4S	intoxication par d'autres antihypertenseurs, intention indéterminée, séquelle
T46.5X5A	réaction secondaire aux d'autres antihypertenseurs, contact initial
T46.5X5D	réaction secondaire aux d'autres antihypertenseurs, contact subséquent
T46.5X5S	réaction secondaire aux d'autres antihypertenseurs, séquelle
T46.5X6A	sous-dosage en d'autres antihypertenseurs, contact initial
T46.5X6D	sous-dosage en d'autres antihypertenseurs, contact subséquent
T46.5X6S	sous-dosage en d'autres antihypertenseurs, séquelle
T46.6X1A	intoxication par des antihyperlipidémiants et antiartériosclérosants, accidentelle (involontaire), contact initial
T46.6X1D	intoxication par des antihyperlipidémiants et antiartériosclérosants, accidentelle (involontaire), contact subséquent
T46.6X1S	intoxication par des antihyperlipidémiants et antiartériosclérosants, accidentelle (involontaire), séquelle
T46.6X2A	intoxication par des antihyperlipidémiants et antiartériosclérosants, auto-infligée, contact initial
T46.6X2D	intoxication par des antihyperlipidémiants et antiartériosclérosants, auto-infligée, contact subséquent
T46.6X2S	intoxication par des antihyperlipidémiants et antiartériosclérosants, auto-infligée, séquelle
T46.6X3A	intoxication par des antihyperlipidémiants et antiartériosclérosants, agression, contact initial
T46.6X3D	intoxication par des antihyperlipidémiants et antiartériosclérosants, agression, contact subséquent
T46.6X3S	intoxication par des antihyperlipidémiants et antiartériosclérosants, agression, séquelle
T46.6X5S	réaction secondaire aux antihyperlipidémiants et antiartériosclérosants, séquelle
T46.6X6A	sous-dosage en antihyperlipidémiants et antiartériosclérosants, contact initial
T46.6X6D	sous-dosage en antihyperlipidémiants et antiartériosclérosants, contact subséquent
T46.6X6S	sous-dosage en antihyperlipidémiants et antiartériosclérosants, séquelle
T46.7X1A	intoxication par des vasodilatateurs périphériques, accidentelle (involontaire), contact initial
T46.7X1D	intoxication par des vasodilatateurs périphériques, accidentelle (involontaire), contact subséquent
T46.7X1S	intoxication par des vasodilatateurs périphériques, accidentelle (involontaire), séquelle
T46.7X2A	intoxication par des vasodilatateurs périphériques, auto-infligée, contact initial
T46.7X2D	intoxication par des vasodilatateurs périphériques, auto-infligée, contact subséquent
T46.7X2S	intoxication par des vasodilatateurs périphériques, auto-infligée, séquelle
T46.7X3A	intoxication par des vasodilatateurs périphériques, agression, contact initial
T46.7X3D	intoxication par des vasodilatateurs périphériques, agression, contact subséquent
T46.7X3S	intoxication par des vasodilatateurs périphériques, agression, séquelle
T46.7X4A	intoxication par des vasodilatateurs périphériques, intention indéterminée, contact initial
T46.7X4D	intoxication par des vasodilatateurs périphériques, intention indéterminée, contact subséquent
T46.7X4S	intoxication par des vasodilatateurs périphériques, intention indéterminée, séquelle
T46.7X5A	réaction secondaire aux vasodilatateurs périphériques, contact initial
T46.7X5D	réaction secondaire aux vasodilatateurs périphériques, contact subséquent
T46.7X5S	réaction secondaire aux vasodilatateurs périphériques, séquelle
T46.7X6A	sous-dosage en vasodilatateurs périphériques, contact initial
T46.7X6D	sous-dosage en vasodilatateurs périphériques, contact subséquent
T46.7X6S	sous-dosage en vasodilatateurs périphériques, séquelle
T46.8X1A	intoxication par des substances antivariqueuses, y compris les agents sclérosants, accidentelle (involontaire), contact initial
T46.8X1D	intoxication par des substances antivariqueuses, y compris les agents sclérosants, accidentelle (involontaire), contact subséquent
T46.8X1S	intoxication par des substances antivariqueuses, y compris les agents sclérosants, accidentelle (involontaire), séquelle
T46.8X2A	intoxication par des substances antivariqueuses, y compris les agents sclérosants, auto-infligée, contact initial
T46.8X2D	intoxication par des substances antivariqueuses, y compris les agents sclérosants, auto-infligée, contact subséquent
T46.8X2S	intoxication par des substances antivariqueuses, y compris les agents sclérosants, auto-infligée, séquelle
T46.8X3A	intoxication par des substances antivariqueuses, y compris les agents sclérosants, agression, contact initial
T46.8X3D	intoxication par des substances antivariqueuses, y compris les agents sclérosants, agression, contact subséquent
T46.8X3S	intoxication par des substances antivariqueuses, y compris les agents sclérosants, agression, séquelle
T46.8X4A	intoxication par des substances antivariqueuses, y compris les agents sclérosants, intention indéterminée, contact initial
T46.8X4D	intoxication par des substances antivariqueuses, y compris les agents sclérosants, intention indéterminée, contact subséquent
T46.8X4S	intoxication par des substances antivariqueuses, y compris les agents sclérosants, intention indéterminée, séquelle
T46.8X5A	réaction secondaire aux substances antivariqueuses, y compris les agents sclérosants, contact initial
T46.8X5D	réaction secondaire aux substances antivariqueuses, y compris les agents sclérosants, contact subséquent
T46.8X5S	réaction secondaire aux substances antivariqueuses, y compris les agents sclérosants, séquelle
T46.8X6A	sous-dosage en substances antivariqueuses, y compris les agents sclérosants, contact initial
T46.8X6D	sous-dosage en substances antivariqueuses, y compris les agents sclérosants, contact subséquent
T46.8X6S	sous-dosage en substances antivariqueuses, y compris les agents sclérosants, séquelle
T46.901A	intoxication par des substances non spécifiées agissant essentiellement sur le système cardio-vasculaire, accidentelle (involontaire), contact initial
T46.901D	intoxication par des substances non spécifiées agissant essentiellement sur le système cardio-vasculaire, accidentelle (involontaire), contact subséquent
T46.901S	intoxication par des substances non spécifiées agissant essentiellement sur le système cardio-vasculaire, accidentelle (involontaire), séquelle
T46.902A	intoxication par des substances non spécifiées agissant essentiellement sur le système cardio-vasculaire, auto-infligée, contact initial
T46.902D	intoxication par des substances non spécifiées agissant essentiellement sur le système cardio-vasculaire, auto-infligée, contact subséquent
T46.902S	intoxication par des substances non spécifiées agissant essentiellement sur le système cardio-vasculaire, auto-infligée, séquelle
T46.903A	intoxication par des substances non spécifiées agissant essentiellement sur le système cardio-vasculaire, agression, contact initial
T46.903D	intoxication par des substances non spécifiées agissant essentiellement sur le système cardio-vasculaire, agression, contact subséquent
T46.903S	intoxication par des substances non spécifiées agissant essentiellement sur le système cardio-vasculaire, agression, séquelle
T46.904A	intoxication par des substances non spécifiées agissant essentiellement sur le système cardio-vasculaire, intention indéterminée, contact initial
T46.904D	intoxication par des substances non spécifiées agissant essentiellement sur le système cardio-vasculaire, intention indéterminée, contact subséquent
T46.904S	intoxication par des substances non spécifiées agissant essentiellement sur le système cardio-vasculaire, intention indéterminée, séquelle
T46.905A	réaction secondaire aux substances non spécifiées agissant sur le système cardio-vasculaire, contact initial
T46.905D	réaction secondaire aux substances non spécifiées agissant sur le système cardio-vasculaire, contact subséquent
T46.905S	réaction secondaire aux substances non spécifiées agissant sur le système cardio-vasculaire, séquelle
T46.906A	sous-dosage en substances non spécifiées agissant sur le système cardio-vasculaire, contact initial
T46.906D	sous-dosage en substances non spécifiées agissant sur le système cardio-vasculaire, contact subséquent
T46.906S	sous-dosage en substances non spécifiées agissant sur le système cardio-vasculaire, séquelle
T46.991A	intoxication par d'autres substances agissant essentiellement sur le système cardio-vasculaire, accidentelle (involontaire), contact initial
T46.991D	intoxication par d'autres substances agissant essentiellement sur le système cardio-vasculaire, accidentelle (involontaire), contact subséquent
T46.991S	intoxication par d'autres substances agissant essentiellement sur le système cardio-vasculaire, accidentelle (involontaire), séquelle
T46.992A	intoxication par d'autres substances agissant essentiellement sur le système cardio-vasculaire, auto-infligée, contact initial
T46.992D	intoxication par d'autres substances agissant essentiellement sur le système cardio-vasculaire, auto-infligée, contact subséquent
T46.992S	intoxication par d'autres substances agissant essentiellement sur le système cardio-vasculaire, auto-infligée, séquelle
T46.993A	intoxication par d'autres substances agissant essentiellement sur le système cardio-vasculaire, agression, contact initial
T46.993D	intoxication par d'autres substances agissant essentiellement sur le système cardio-vasculaire, agression, contact subséquent
T46.993S	intoxication par d'autres substances agissant essentiellement sur le système cardio-vasculaire, agression, séquelle
T46.994A	intoxication par d'autres substances agissant essentiellement sur le système cardio-vasculaire, intention indéterminée, contact initial
T46.994D	intoxication par d'autres substances agissant essentiellement sur le système cardio-vasculaire, intention indéterminée, contact subséquent
T46.994S	intoxication par d'autres substances agissant essentiellement sur le système cardio-vasculaire, intention indéterminée, séquelle
T46.995A	réaction secondaire aux d'autres substances agissant sur le système cardio-vasculaire, contact initial
T46.995D	réaction secondaire aux d'autres substances agissant sur le système cardio-vasculaire, contact subséquent
T46.995S	réaction secondaire aux d'autres substances agissant sur le système cardio-vasculaire, séquelle
T46.996A	sous-dosage en d'autres substances agissant sur le système cardio-vasculaire, contact initial
T46.996D	sous-dosage en d'autres substances agissant sur le système cardio-vasculaire, contact subséquent
T46.996S	sous-dosage en d'autres substances agissant sur le système cardio-vasculaire, séquelle
T47.0X1A	intoxication par des inhibiteurs des récepteurs histaminiques H2, accidentelle (involontaire), contact initial
T47.0X1D	intoxication par des inhibiteurs des récepteurs histaminiques H2, accidentelle (involontaire), contact subséquent
T47.0X1S	intoxication par des inhibiteurs des récepteurs histaminiques H2, accidentelle (involontaire), séquelle
T47.0X2A	intoxication par des inhibiteurs des récepteurs histaminiques H2, auto-infligée, contact initial
T47.0X2D	intoxication par des inhibiteurs des récepteurs histaminiques H2, auto-infligée, contact subséquent
T47.0X2S	intoxication par des inhibiteurs des récepteurs histaminiques H2, auto-infligée, séquelle
T47.0X3A	intoxication par des inhibiteurs des récepteurs histaminiques H2, agression, contact initial
T47.0X3D	intoxication par des inhibiteurs des récepteurs histaminiques H2, agression, contact subséquent
T47.0X3S	intoxication par des inhibiteurs des récepteurs histaminiques H2, agression, séquelle
T47.0X4A	intoxication par des inhibiteurs des récepteurs histaminiques H2, intention indéterminée, contact initial
T47.0X4D	intoxication par des inhibiteurs des récepteurs histaminiques H2, intention indéterminée, contact subséquent
T47.0X4S	intoxication par des inhibiteurs des récepteurs histaminiques H2, intention indéterminée, séquelle
T47.0X5A	réaction secondaire aux inhibiteurs des récepteurs histaminiques H2, contact initial
T47.0X5D	réaction secondaire aux inhibiteurs des récepteurs histaminiques H2, contact subséquent
T47.0X5S	réaction secondaire aux inhibiteurs des récepteurs histaminiques H2, séquelle
T47.0X6A	sous-dosage en inhibiteurs des récepteurs histaminiques H2, contact initial
T47.0X6D	sous-dosage en inhibiteurs des récepteurs histaminiques H2, contact subséquent
T47.0X6S	sous-dosage en inhibiteurs des récepteurs histaminiques H2, séquelle
T47.1X1A	intoxication par d'autres antiacides et antisécrétoires gastriques, accidentelle (involontaire), contact initial
T47.1X1D	intoxication par d'autres antiacides et antisécrétoires gastriques, accidentelle (involontaire), contact subséquent
T47.1X1S	intoxication par d'autres antiacides et antisécrétoires gastriques, accidentelle (involontaire), séquelle
T47.1X2A	intoxication par d'autres antiacides et antisécrétoires gastriques, auto-infligée, contact initial
T47.1X2D	intoxication par d'autres antiacides et antisécrétoires gastriques, auto-infligée, contact subséquent
T47.1X2S	intoxication par d'autres antiacides et antisécrétoires gastriques, auto-infligée, séquelle
T47.1X3A	intoxication par d'autres antiacides et antisécrétoires gastriques, agression, contact initial
